Command: /evprj153/projects/DuyQuang_DV1/Labs/ces_svtb_2019.06/labs/lab6b/./simv -l simv.log +ntb_random_seed=1
Chronologic VCS simulator copyright 1991-2024
Contains Synopsys proprietary information.
Compiler version W-2024.09-SP1-1; Runtime version W-2024.09-SP1-1;  May 18 04:40 2025
VCD+ Writer W-2024.09-SP1-1 Copyright (c) 1991-2024 by Synopsys Inc.
*Verdi* Loading libsscore_vcs202409.so
FSDB Dumper for VCS, Release Verdi_W-2024.09-SP1-1, Linux, 01/11/2025
(C) 1996 - 2025 by Synopsys, Inc.
*Verdi* : Create FSDB file 'novas.fsdb'
*Verdi* : Begin traversing the scopes, layer (0).
*Verdi* : End of traversing.
[NOTE]62150.0ns Packet #183 Successfully Compared Cvrg = 84.51
[NOTE]62150.0ns Packet #184 Successfully Compared Cvrg = 84.51
[NOTE]62950.0ns Packet #185 Successfully Compared Cvrg = 84.51
[NOTE]62950.0ns Packet #186 Successfully Compared Cvrg = 84.64
[NOTE]63750.0ns Packet #187 Successfully Compared Cvrg = 84.64
[NOTE]64450.0ns Packet #188 Successfully Compared Cvrg = 84.77
[NOTE]64650.0ns Packet #189 Successfully Compared Cvrg = 84.77
[NOTE]65250.0ns Packet #190 Successfully Compared Cvrg = 84.77
[NOTE]65450.0ns Packet #191 Successfully Compared Cvrg = 84.77
[NOTE]66150.0ns Packet #192 Successfully Compared Cvrg = 84.77
[NOTE]66250.0ns Packet #193 Successfully Compared Cvrg = 84.90
[NOTE]66250.0ns Packet #194 Successfully Compared Cvrg = 84.90
[NOTE]67050.0ns Packet #195 Successfully Compared Cvrg = 84.90
[NOTE]67050.0ns Packet #196 Successfully Compared Cvrg = 84.90
[NOTE]67750.0ns Packet #197 Successfully Compared Cvrg = 85.03
[NOTE]67950.0ns Packet #198 Successfully Compared Cvrg = 85.03
[NOTE]68550.0ns Packet #199 Successfully Compared Cvrg = 85.16
[NOTE]68550.0ns Packet #200 Successfully Compared Cvrg = 85.29
[NOTE]68650.0ns Packet #201 Successfully Compared Cvrg = 85.42
[NOTE]69550.0ns Packet #202 Successfully Compared Cvrg = 85.55
[NOTE]69550.0ns Packet #203 Successfully Compared Cvrg = 85.55
[NOTE]70250.0ns Packet #204 Successfully Compared Cvrg = 85.55
[NOTE]70350.0ns Packet #205 Successfully Compared Cvrg = 85.55
[NOTE]70450.0ns Packet #206 Successfully Compared Cvrg = 85.68
[NOTE]71150.0ns Packet #207 Successfully Compared Cvrg = 85.68
[NOTE]71850.0ns Packet #208 Successfully Compared Cvrg = 85.68
[NOTE]71850.0ns Packet #209 Successfully Compared Cvrg = 85.81
[NOTE]71950.0ns Packet #210 Successfully Compared Cvrg = 85.94
[NOTE]72050.0ns Packet #211 Successfully Compared Cvrg = 85.94
[NOTE]72650.0ns Packet #212 Successfully Compared Cvrg = 86.07
[NOTE]72750.0ns Packet #213 Successfully Compared Cvrg = 86.20
[NOTE]73550.0ns Packet #214 Successfully Compared Cvrg = 86.20
[NOTE]73650.0ns Packet #215 Successfully Compared Cvrg = 86.33
[NOTE]74350.0ns Packet #216 Successfully Compared Cvrg = 86.33
[NOTE]74350.0ns Packet #217 Successfully Compared Cvrg = 86.46
[NOTE]74450.0ns Packet #218 Successfully Compared Cvrg = 86.59
[NOTE]74550.0ns Packet #219 Successfully Compared Cvrg = 86.72
[NOTE]74550.0ns Packet #220 Successfully Compared Cvrg = 86.72
[NOTE]75350.0ns Packet #221 Successfully Compared Cvrg = 86.72
[NOTE]75950.0ns Packet #222 Successfully Compared Cvrg = 86.72
[NOTE]76050.0ns Packet #223 Successfully Compared Cvrg = 86.85
[NOTE]76750.0ns Packet #224 Successfully Compared Cvrg = 86.98
[NOTE]76850.0ns Packet #225 Successfully Compared Cvrg = 86.98
[NOTE]76950.0ns Packet #226 Successfully Compared Cvrg = 87.11
[NOTE]76950.0ns Packet #227 Successfully Compared Cvrg = 87.24
[NOTE]77850.0ns Packet #228 Successfully Compared Cvrg = 87.37
[NOTE]78450.0ns Packet #229 Successfully Compared Cvrg = 87.37
[NOTE]78450.0ns Packet #230 Successfully Compared Cvrg = 87.50
[NOTE]78550.0ns Packet #231 Successfully Compared Cvrg = 87.63
[NOTE]78550.0ns Packet #232 Successfully Compared Cvrg = 87.63
[NOTE]78650.0ns Packet #233 Successfully Compared Cvrg = 87.76
[NOTE]78650.0ns Packet #234 Successfully Compared Cvrg = 87.76
[NOTE]79250.0ns Packet #235 Successfully Compared Cvrg = 87.76
[NOTE]79450.0ns Packet #236 Successfully Compared Cvrg = 87.76
[NOTE]80850.0ns Packet #237 Successfully Compared Cvrg = 87.76
[NOTE]80950.0ns Packet #238 Successfully Compared Cvrg = 87.89
[NOTE]81050.0ns Packet #239 Successfully Compared Cvrg = 87.89
[NOTE]81750.0ns Packet #240 Successfully Compared Cvrg = 87.89
[NOTE]81750.0ns Packet #241 Successfully Compared Cvrg = 87.89
[NOTE]81950.0ns Packet #242 Successfully Compared Cvrg = 87.89
[NOTE]81950.0ns Packet #243 Successfully Compared Cvrg = 88.02
[NOTE]81950.0ns Packet #244 Successfully Compared Cvrg = 88.15
[NOTE]82550.0ns Packet #245 Successfully Compared Cvrg = 88.15
[NOTE]82650.0ns Packet #246 Successfully Compared Cvrg = 88.15
[NOTE]82750.0ns Packet #247 Successfully Compared Cvrg = 88.28
[NOTE]84250.0ns Packet #248 Successfully Compared Cvrg = 88.28
[NOTE]84450.0ns Packet #249 Successfully Compared Cvrg = 88.28
[NOTE]85050.0ns Packet #250 Successfully Compared Cvrg = 88.41
[NOTE]85250.0ns Packet #251 Successfully Compared Cvrg = 88.41
[NOTE]85250.0ns Packet #252 Successfully Compared Cvrg = 88.41
[NOTE]85850.0ns Packet #253 Successfully Compared Cvrg = 88.54
[NOTE]85850.0ns Packet #254 Successfully Compared Cvrg = 88.67
[NOTE]85950.0ns Packet #255 Successfully Compared Cvrg = 88.67
[NOTE]86050.0ns Packet #256 Successfully Compared Cvrg = 88.67
[NOTE]86750.0ns Packet #257 Successfully Compared Cvrg = 88.67
[NOTE]87750.0ns Packet #258 Successfully Compared Cvrg = 88.67
[NOTE]87750.0ns Packet #259 Successfully Compared Cvrg = 88.67
[NOTE]88350.0ns Packet #260 Successfully Compared Cvrg = 88.67
[NOTE]88350.0ns Packet #261 Successfully Compared Cvrg = 88.67
[NOTE]89150.0ns Packet #262 Successfully Compared Cvrg = 88.67
[NOTE]89350.0ns Packet #263 Successfully Compared Cvrg = 88.80
[NOTE]90050.0ns Packet #264 Successfully Compared Cvrg = 88.80
[NOTE]90050.0ns Packet #265 Successfully Compared Cvrg = 88.80
[NOTE]90250.0ns Packet #266 Successfully Compared Cvrg = 88.93
[NOTE]90850.0ns Packet #267 Successfully Compared Cvrg = 88.93
[NOTE]91650.0ns Packet #268 Successfully Compared Cvrg = 88.93
[NOTE]91650.0ns Packet #269 Successfully Compared Cvrg = 89.06
[NOTE]91650.0ns Packet #270 Successfully Compared Cvrg = 89.19
[NOTE]91850.0ns Packet #271 Successfully Compared Cvrg = 89.19
[NOTE]91850.0ns Packet #272 Successfully Compared Cvrg = 89.32
[NOTE]92450.0ns Packet #273 Successfully Compared Cvrg = 89.32
[NOTE]92650.0ns Packet #274 Successfully Compared Cvrg = 89.32
[NOTE]93350.0ns Packet #275 Successfully Compared Cvrg = 89.32
[NOTE]93350.0ns Packet #276 Successfully Compared Cvrg = 89.45
[NOTE]94350.0ns Packet #277 Successfully Compared Cvrg = 89.45
[NOTE]94950.0ns Packet #278 Successfully Compared Cvrg = 89.45
[NOTE]94950.0ns Packet #279 Successfully Compared Cvrg = 89.45
[NOTE]94950.0ns Packet #280 Successfully Compared Cvrg = 89.45
[NOTE]95150.0ns Packet #281 Successfully Compared Cvrg = 89.45
[NOTE]95150.0ns Packet #282 Successfully Compared Cvrg = 89.45
[NOTE]95950.0ns Packet #283 Successfully Compared Cvrg = 89.45
[NOTE]96650.0ns Packet #284 Successfully Compared Cvrg = 89.45
[NOTE]96650.0ns Packet #285 Successfully Compared Cvrg = 89.58
[NOTE]97450.0ns Packet #286 Successfully Compared Cvrg = 89.58
[NOTE]97450.0ns Packet #287 Successfully Compared Cvrg = 89.58
[NOTE]97650.0ns Packet #288 Successfully Compared Cvrg = 89.71
[NOTE]98450.0ns Packet #289 Successfully Compared Cvrg = 89.71
[NOTE]98450.0ns Packet #290 Successfully Compared Cvrg = 89.71
[NOTE]98450.0ns Packet #291 Successfully Compared Cvrg = 89.84
[NOTE]99050.0ns Packet #292 Successfully Compared Cvrg = 89.97
[NOTE]99150.0ns Packet #293 Successfully Compared Cvrg = 89.97
[NOTE]99150.0ns Packet #294 Successfully Compared Cvrg = 89.97
[NOTE]99250.0ns Packet #295 Successfully Compared Cvrg = 89.97
[NOTE]100050.0ns Packet #296 Successfully Compared Cvrg = 90.10
[NOTE]100950.0ns Packet #297 Successfully Compared Cvrg = 90.23
[NOTE]100950.0ns Packet #298 Successfully Compared Cvrg = 90.23
[NOTE]101550.0ns Packet #299 Successfully Compared Cvrg = 90.36
[NOTE]101550.0ns Packet #300 Successfully Compared Cvrg = 90.36
[NOTE]101750.0ns Packet #301 Successfully Compared Cvrg = 90.36
[NOTE]102450.0ns Packet #302 Successfully Compared Cvrg = 90.36
[NOTE]102450.0ns Packet #303 Successfully Compared Cvrg = 90.36
[NOTE]102550.0ns Packet #304 Successfully Compared Cvrg = 90.36
[NOTE]102550.0ns Packet #305 Successfully Compared Cvrg = 90.36
[NOTE]103250.0ns Packet #306 Successfully Compared Cvrg = 90.49
[NOTE]104250.0ns Packet #307 Successfully Compared Cvrg = 90.49
[NOTE]104250.0ns Packet #308 Successfully Compared Cvrg = 90.49
[NOTE]104850.0ns Packet #309 Successfully Compared Cvrg = 90.49
[NOTE]105050.0ns Packet #310 Successfully Compared Cvrg = 90.49
[NOTE]105050.0ns Packet #311 Successfully Compared Cvrg = 90.49
[NOTE]105050.0ns Packet #312 Successfully Compared Cvrg = 90.49
[NOTE]105650.0ns Packet #313 Successfully Compared Cvrg = 90.49
[NOTE]105650.0ns Packet #314 Successfully Compared Cvrg = 90.49
[NOTE]105850.0ns Packet #315 Successfully Compared Cvrg = 90.49
[NOTE]107550.0ns Packet #316 Successfully Compared Cvrg = 90.49
[NOTE]107550.0ns Packet #317 Successfully Compared Cvrg = 90.49
