Command: /evprj153/projects/DuyQuang_DV1/Labs/ces_svtb_2019.06/labs/lab6a/./simv -l simv.log +ntb_random_seed=1 -cm line+fsm+tgl
Chronologic VCS simulator copyright 1991-2024
Contains Synopsys proprietary information.
Compiler version W-2024.09-SP1-1; Runtime version W-2024.09-SP1-1;  May 20 13:42 2025
*Verdi* Loading libsscore_vcs202409.so
FSDB Dumper for VCS, Release Verdi_W-2024.09-SP1-1, Linux, 01/11/2025
(C) 1996 - 2025 by Synopsys, Inc.
*Verdi* FSDB WARNING: The FSDB file already exists. Overwriting the FSDB file may crash the programs that are using this file.
*Verdi* : Create FSDB file 'novas.fsdb'
*Verdi* : Begin traversing the scopes, layer (0).
*Verdi* : End of traversing.
VCD+ Writer W-2024.09-SP1-1 Copyright (c) 1991-2024 by Synopsys Inc.
[NOTE]81050.0ns Packet #225 Successfully Compared Cvrg = 86.98
[NOTE]81850.0ns Packet #226 Successfully Compared Cvrg = 86.98
[NOTE]81850.0ns Packet #227 Successfully Compared Cvrg = 87.11
[NOTE]82650.0ns Packet #228 Successfully Compared Cvrg = 87.11
[NOTE]82750.0ns Packet #229 Successfully Compared Cvrg = 87.24
[NOTE]83450.0ns Packet #230 Successfully Compared Cvrg = 87.37
[NOTE]84250.0ns Packet #231 Successfully Compared Cvrg = 87.50
[NOTE]84350.0ns Packet #232 Successfully Compared Cvrg = 87.63
[NOTE]84350.0ns Packet #233 Successfully Compared Cvrg = 87.63
[NOTE]84350.0ns Packet #234 Successfully Compared Cvrg = 87.63
[NOTE]85150.0ns Packet #235 Successfully Compared Cvrg = 87.63
[NOTE]85950.0ns Packet #236 Successfully Compared Cvrg = 87.63
[NOTE]86750.0ns Packet #237 Successfully Compared Cvrg = 87.63
[NOTE]86850.0ns Packet #238 Successfully Compared Cvrg = 87.63
[NOTE]86850.0ns Packet #239 Successfully Compared Cvrg = 87.63
[NOTE]87550.0ns Packet #240 Successfully Compared Cvrg = 87.63
[NOTE]87650.0ns Packet #241 Successfully Compared Cvrg = 87.76
[NOTE]88350.0ns Packet #242 Successfully Compared Cvrg = 87.76
[NOTE]88450.0ns Packet #243 Successfully Compared Cvrg = 87.89
[NOTE]88450.0ns Packet #244 Successfully Compared Cvrg = 87.89
[NOTE]88450.0ns Packet #245 Successfully Compared Cvrg = 88.02
[NOTE]89250.0ns Packet #246 Successfully Compared Cvrg = 88.02
[NOTE]89350.0ns Packet #247 Successfully Compared Cvrg = 88.02
[NOTE]90050.0ns Packet #248 Successfully Compared Cvrg = 88.02
[NOTE]90150.0ns Packet #249 Successfully Compared Cvrg = 88.02
[NOTE]90950.0ns Packet #250 Successfully Compared Cvrg = 88.15
[NOTE]90950.0ns Packet #251 Successfully Compared Cvrg = 88.15
[NOTE]90950.0ns Packet #252 Successfully Compared Cvrg = 88.15
[NOTE]90950.0ns Packet #253 Successfully Compared Cvrg = 88.15
[NOTE]90950.0ns Packet #254 Successfully Compared Cvrg = 88.28
[NOTE]91750.0ns Packet #255 Successfully Compared Cvrg = 88.41
[NOTE]91750.0ns Packet #256 Successfully Compared Cvrg = 88.41
[NOTE]92450.0ns Packet #257 Successfully Compared Cvrg = 88.54
[NOTE]92550.0ns Packet #258 Successfully Compared Cvrg = 88.67
[NOTE]92650.0ns Packet #259 Successfully Compared Cvrg = 88.80
[NOTE]93450.0ns Packet #260 Successfully Compared Cvrg = 88.93
[NOTE]94250.0ns Packet #261 Successfully Compared Cvrg = 88.93
[NOTE]94950.0ns Packet #262 Successfully Compared Cvrg = 88.93
[NOTE]95050.0ns Packet #263 Successfully Compared Cvrg = 88.93
[NOTE]95050.0ns Packet #264 Successfully Compared Cvrg = 88.93
[NOTE]95050.0ns Packet #265 Successfully Compared Cvrg = 88.93
[NOTE]95150.0ns Packet #266 Successfully Compared Cvrg = 89.06
[NOTE]96650.0ns Packet #267 Successfully Compared Cvrg = 89.06
[NOTE]96750.0ns Packet #268 Successfully Compared Cvrg = 89.06
